School_ID,Short_Name,Long_Name,Primary_Category,Program_Type,Program_Group,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Program_Grades_Served,Application_Requirements,Program_Selections,How_To_Apply,Deadline,School_Latitude,School_Longitude,Location
609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,HS,CURIE HS-Career & Technical Education (CTE)-Media & Communication Arts,Media & Communication Arts,4959 S ARCHER AVE,Chicago,Illinois,60632,7735352100,7735352049,https://www.cps.edu/schools/schoolprofiles/609756,https://www.curiehs.org,9,None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Attendance Area,General</li><li><strong>Note: </strong>Preference given to students scoring above the 24% in ELA and Math</li></ul>",None,,41.80306,-87.722042,POINT (-87.722042 41.80306)
609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,HS,CURIE HS-Career & Technical Education (CTE)-Media & Communication Arts,Media & Communication Arts,4959 S ARCHER AVE,Chicago,Illinois,60632,7735352100,7735352049,https://www.cps.edu/schools/schoolprofiles/609756,https://www.curiehs.org,9,None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Attendance Area,General</li><li><strong>Note: </strong>Preference given to students scoring above the 24% in ELA and Math</li></ul>",None,,41.80306,-87.722042,POINT (-87.722042 41.80306)
610384,INFINITY HS,Infinity Math Science and Technology High School,HS,"INFINITY HS-Neighborhood-General Education, STEM","General Education, STEM",3120 S KOSTNER AVE,Chicago,Illinois,60623,7735354225,7735354270,https://www.cps.edu/schools/schoolprofiles/610384,https://www.infinityhs.org,9,None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>2</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Attendance Area,Sibling Preference,Staff Preference,General</li><li><strong>Note: </strong>Staff Preference applies at the entry level grade only. A maximum of 2 seats can be filled through Staff Preference.</li></ul>",None,,41.836169,-87.735278,POINT (-87.735278 41.836169)
609725,MORGAN PARK HS,Morgan Park High School,HS,MORGAN PARK HS-Special Education-Significantly Modified Curriculum w/ Moderate Supports,Significantly Modified Curriculum w/ Moderate Supports,1744 W PRYOR AVE,Chicago,Illinois,60643,7735352550,7735352706,https://www.cps.edu/schools/schoolprofiles/609725,https://morganparkcps.org,9,Cluster and Review,<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>General</li></ul>,Cluster and Review,,41.692035,-87.665658,POINT (-87.665658 41.692035)
610340,CHICAGO ACADEMY HS,Chicago Academy High School,HS,CHICAGO ACADEMY HS-Citywide-Honors,Honors,3400 N AUSTIN AVE,Chicago,Illinois,60634,7735340146,7735340192,https://www.cps.edu/schools/schoolprofiles/610340,https://chicagoacademyhs.org,9,None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>3</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Continuing Enrollment,Sibling Preference,Proximity,Elementary Preference,General</li></ul>",None,,41.943054,-87.776847,POINT (-87.776847 41.943054)
609720,LANE TECH HS,Albert G Lane Technical High School,HS,LANE TECH HS-Selective Enrollment-Academic Center,Academic Center,2501 W ADDISON ST,Chicago,Illinois,60618,7735345400,7735345544,https://www.cps.edu/schools/schoolprofiles/609720,https://lanetech.org,"7,8",Admissions Exam,"<ul><li><strong>Selection Type: </strong>Descending Point Score based on Academic Criteria</li>                                                            <li><strong>GPA: </strong>2.5</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>General,Tier</li><li><strong>Note: </strong>The distribution of available seats into the 4 socio-economic tiers will only be applicable at the entry-level grade (7th grade).</li></ul>",Admissions Exam,,41.946645,-87.691013,POINT (-87.691013 41.946645)
609708,FOREMAN HS,Edwin G. Foreman College and Career Academy,HS,FOREMAN HS-Neighborhood-General Education,General Education,3235 N LECLAIRE AVE,Chicago,Illinois,60641,7735343400,7735343684,https://www.cps.edu/schools/schoolprofiles/609708,http://www.foremancca.org,9,None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Attendance Area,Sibling Preference,Staff Preference,General</li><li><strong>Note: </strong>Staff Preference applies at the entry level grade only. A maximum of 2 seats can be filled through Staff Preference.</li></ul>",None,,41.939797,-87.754167,POINT (-87.754167 41.939797)
609729,SCHURZ HS,Carl Schurz High School,HS,SCHURZ HS-Career & Technical Education (CTE)-Manufacturing & Engineering,Manufacturing & Engineering,3601 N MILWAUKEE AVE,Chicago,Illinois,60641,7735343420,7735343573,https://www.cps.edu/schools/schoolprofiles/609729,https://schurzhs.org,9,None,<ul><li><strong>Selection Type: </strong>Descending Point Score based on Academic Criteria</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>General</li></ul>,None,,41.946365,-87.735612,POINT (-87.735612 41.946365)
609764,JUAREZ HS,Benito Juarez Community Academy High School,HS,JUAREZ HS-Career & Technical Education (CTE)-Education & Training,Education & Training,1450 W CERMAK RD,Chicago,Illinois,60608,7735347030,7735347058,https://www.cps.edu/schools/schoolprofiles/609764,https://benitojuarez.net,9,None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Attendance Area,General</li><li><strong>Note: </strong>Preference given to students scoring above the 24% in ELA and Math</li></ul>",None,,41.852667,-87.663732,POINT (-87.663732 41.852667)
609698,BOGAN HS,William J Bogan High School,HS,BOGAN HS-Special Education-Significantly Modified Curriculum w/ Moderate Supports,Significantly Modified Curriculum w/ Moderate Supports,3939 W 79TH ST,Chicago,Illinois,60652,7735352180,7735352165,https://www.cps.edu/schools/schoolprofiles/609698,https://boganhs.org,9,Cluster and Review,<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>General</li></ul>,Cluster and Review,,41.749376,-87.721097,POINT (-87.721097 41.749376)
